nome_normalizado;nome_exemplo;quantidade_cadastros;quantidade_contextos;quantidade_geometrias_validas;quantidade_geometrias_unicas;quantidade_geometrias_compartilhadas;distancia_maxima_entre_centros_m;extensao_maxima_da_geometria_m;status;ids;bairros;ceps;distritos
NOSSA SENHORA DO CARMO LADO IMPAR;AVENIDA NOSSA SENHORA DO CARMO - LADO ÍMPAR;2;2;2;1;2;0.0;7538.6;geometria_compartilhada_contextos_distintos;739,763;Parque Rui Barbosa,Parque São Benedito;28024167,28025486;610
NOSSA SENHORA DO CARMO LADO PAR;AVENIDA NOSSA SENHORA DO CARMO - LADO PAR;2;2;2;1;2;0.0;7538.6;geometria_compartilhada_contextos_distintos;740,764;Parque Rui Barbosa,Parque São Benedito;28024168,28025487;610
SERVIDAO VIEIRA DA SILVA;RUA SERVIDÃO VIEIRA DA SILVA;2;2;2;1;2;0.0;101.7;geometria_compartilhada_contextos_distintos;762,777;Parque Aurora;28025470,28025840;610
VINTE DE MAIO;TRAVESSA VINTE DE MAIO;2;2;2;1;2;0.0;326.0;geometria_compartilhada_contextos_distintos;775,776;Parque Aurora,Parque São Benedito;28025685,28025780;610
DO CAPAO;ESTRADA DO CAPÃO;2;2;2;1;2;0.0;99.3;geometria_compartilhada_contextos_distintos;782,893;Parque Aurora,Parque São Benedito;28025490,28026495;610,611
DOUTOR NEWTON GUARANA;AVENIDA DOUTOR NEWTON GUARANÁ;2;2;2;1;2;0.0;6258.8;geometria_compartilhada_contextos_distintos;787,808;Parque Novo Jockey,Parque Penha;28020803,28021245;611
NOSSA SENHORA DA PENHA;RUA NOSSA SENHORA DA PENHA;3;3;3;1;3;0.0;58107.4;geometria_compartilhada_contextos_distintos;804,852,2061;Parque Calabouço,Parque Penha;28021220,28021470,28080783;611,622
MANOEL VIRGILIO;RUA MANOEL VIRGÍLIO;2;2;2;1;2;0.0;344.6;geometria_compartilhada_contextos_distintos;809,810;Parque Penha;28021250,28021255;611
JOSE DE SOUZA NETO;RUA JOSÉ DE SOUZA NETO;2;2;2;1;2;0.0;284.5;geometria_compartilhada_contextos_distintos;811,997;Parque Penha,Vivendas do Coqueiro I;28021260,28021303;611,613
C;RUA C;2;2;2;1;2;0.0;74545.0;geometria_compartilhada_contextos_distintos;822,1533;Custodópolis,Vivendas do Coqueiro II;28021370,28085105;611,618
