rua_id;nome;bairro;cep;distrito;hash_local;hash_producao;pontos_local;pontos_producao;linhas_local;linhas_producao;centro_local_lon;centro_local_lat;centro_producao_lon;centro_producao_lat;distancia_centroides_m;extensao_local_m;extensao_producao_m;bbox_local;bbox_producao;lote_osm_antigo;revisao_manual_95;indicacao
538;RUA CAMBUCI;Parque Novo Jockey;28020843;608;e25712c4105e2fdb;ca20f834c67a2284;2;8;1;2;-41.27770005;-21.7774594;-41.30884341;-21.73306685;5891.6;359.7;735.7;-41.278766,-21.778738,-41.276634,-21.776180;-41.319504,-21.778738,-41.276634,-21.717161;sim;não;revisar visualmente antes de escolher uma base
2072;RUA UM;Parque Aeroporto;28093530;623;0f272f5f80758dd0;4f90e5ac7344e762;11;80;1;15;-41.30095045;-21.7204075;-41.33460512;-21.68554975;5207.0;984.0;4494.6;-41.304552,-21.721066,-41.295094,-21.720014;-41.415458,-21.831501,-41.278143,-21.600870;sim;não;revisar visualmente antes de escolher uma base
1924;RUA SÃO GONÇALO;Parque São Mateus;28073225;621;c6441408da3008a6;3284f179a32a5ea6;10;24;2;4;-41.31514542;-21.71694474;-41.30398643;-21.75580435;4472.1;634.8;1061.0;-41.317373,-21.718123,-41.311977,-21.716432;-41.327514,-21.830751,-41.273404,-21.716432;sim;não;revisar visualmente antes de escolher uma base
1809;RUA SÃO GONÇALO;Parque Guarus;28070216;620;71589da1b988fca5;3284f179a32a5ea6;6;24;1;4;-41.32555437;-21.72110423;-41.30398643;-21.75580435;4455.4;315.4;1061.0;-41.327514,-21.721608,-41.324571,-21.720853;-41.327514,-21.830751,-41.273404,-21.716432;sim;não;revisar visualmente antes de escolher uma base
950;RUA SÃO CLEMENTE;Parque Maciel;28025560;612;fb958e469ab8554b;2484c867e70e0abf;2;4;1;2;-41.3242894;-21.78949935;-41.29415848;-21.8103745;3881.4;118.8;176.7;-41.324412,-21.790021,-41.324167,-21.788978;-41.324412,-21.831403,-41.263801,-21.788978;sim;não;revisar visualmente antes de escolher uma base
444;RUA SÃO CLEMENTE;Goytacazes;28023734;607;73c0f505f7bc50c9;2484c867e70e0abf;2;4;1;2;-41.26402755;-21.83124965;-41.29415848;-21.8103745;3881.0;58.0;176.7;-41.264254,-21.831403,-41.263801,-21.831096;-41.324412,-21.831403,-41.263801,-21.788978;sim;não;revisar visualmente antes de escolher uma base
416;RUA NOVA;Goytacazes;28023693;607;eb8c50bd375cace7;391c202a77c3d30d;2;48;1;4;-41.33870915;-21.9452082;-41.361574;-21.91836536;3804.1;63.4;3340.6;-41.338900,-21.945431,-41.338518,-21.944985;-41.464228,-21.957164,-41.206514,-21.827682;sim;não;revisar visualmente antes de escolher uma base
1501;RUA SANTO ANTÔNIO;Parque Santo Antônio;28080525;617;4cba9658c5c3fa82;7570f4099d7fcec5;15;46;4;9;-41.32670083;-21.74346129;-41.30097881;-21.76680614;3714.2;1053.6;2815.4;-41.328289,-21.745076,-41.322640,-21.739398;-41.385332,-21.897843,-41.186248,-21.712691;sim;não;revisar visualmente antes de escolher uma base
1047;RUA NOSSA SENHORA DA CONCEIÇÃO;Parque Turf Club;28027260;613;a259e8d322a5a26e;c7af6af4c7327b3f;19;42;4;9;-41.32060702;-21.76897272;-41.3196453;-21.74147971;3058.7;451.3;1530.2;-41.322591,-21.769485,-41.318578,-21.768504;-41.337973,-21.945257,-41.311624,-21.601667;sim;não;revisar visualmente antes de escolher uma base
1474;RUA CASIMIRO DE ABREU;Parque Vicente Gonçalves Dias;28080240;617;5cd9814180dcea77;ba8519ae5df55298;4;11;1;2;-41.31726915;-21.74977893;-41.32450639;-21.72935448;2390.9;495.3;817.8;-41.317597,-21.752110,-41.316969,-21.747694;-41.329659,-21.752110,-41.316969,-21.716576;sim;não;revisar visualmente antes de escolher uma base
429;RUA JOCA CASTRO;Goytacazes;28023713;607;09ba18dacb11c875;41b9b649f6b36015;6;13;1;2;-41.26895003;-21.83006432;-41.28074405;-21.81218868;2330.9;379.3;832.3;-41.270063,-21.831782,-41.268254,-21.828826;-41.292008,-21.831782,-41.268254,-21.795019;sim;não;revisar visualmente antes de escolher uma base
1012;TRAVESSA SANTO ANTÔNIO;Parque Jóquei Club;28022085;613;0c9cd7b2fdc7e645;7570f4099d7fcec5;3;46;1;9;-41.29764297;-21.7866144;-41.30097881;-21.76680614;2229.4;103.7;2815.4;-41.298143,-21.786939,-41.297321,-21.786403;-41.385332,-21.897843,-41.186248,-21.712691;sim;não;revisar visualmente antes de escolher uma base
796;RUA JOCA CASTRO;Parque Penha;28021070;611;b8b13ccaf2718e70;41b9b649f6b36015;7;13;1;2;-41.29085321;-21.79686671;-41.28074405;-21.81218868;1998.0;453.0;832.3;-41.292008,-21.797897,-41.288913,-21.795019;-41.292008,-21.831782,-41.268254,-21.795019;sim;não;revisar visualmente antes de escolher uma base
1866;RUA CAMBUCI;Parque Guarus;28073070;621;c1738a818aca87c6;ca20f834c67a2284;6;8;1;2;-41.31922453;-21.71826933;-41.30884341;-21.73306685;1964.0;376.0;735.7;-41.319504,-21.720520,-41.319081,-21.717161;-41.319504,-21.778738,-41.276634,-21.717161;sim;não;revisar visualmente antes de escolher uma base
1017;RUA DAS ACÁCIAS;Parque Penha;28022140;613;7c45c4d2e0d6fdab;2923978d820fd018;2;72;1;9;-41.2966471;-21.8002941;-41.31088408;-21.79651337;1528.8;128.1;4866.0;-41.297044,-21.800736,-41.296250,-21.799852;-41.318213,-21.803482,-41.296250,-21.787210;sim;não;revisar visualmente antes de escolher uma base
1872;RUA CASIMIRO DE ABREU;Parque Guarus;28070550;621;608e42cb83201510;ba8519ae5df55298;7;11;1;2;-41.32864196;-21.71768337;-41.32450639;-21.72935448;1366.3;322.5;817.8;-41.329659,-21.718769,-41.327618,-21.716576;-41.329659,-21.752110,-41.316969,-21.716576;sim;não;revisar visualmente antes de escolher uma base
739;AVENIDA NOSSA SENHORA DO CARMO - LADO ÍMPAR;Parque São Benedito;28024167;610;9a6bf604467cfc2c;3e8c98db994da3b6;89;138;10;19;-41.32532518;-21.78585831;-41.31632691;-21.78499486;934.1;3812.6;5579.8;-41.335195,-21.787293,-41.314834,-21.783123;-41.335195,-21.787537,-41.274328,-21.750106;sim;não;revisar visualmente antes de escolher uma base
740;AVENIDA NOSSA SENHORA DO CARMO - LADO PAR;Parque São Benedito;28024168;610;9a6bf604467cfc2c;3e8c98db994da3b6;89;138;10;19;-41.32532518;-21.78585831;-41.31632691;-21.78499486;934.1;3812.6;5579.8;-41.335195,-21.787293,-41.314834,-21.783123;-41.335195,-21.787537,-41.274328,-21.750106;sim;não;revisar visualmente antes de escolher uma base
763;AVENIDA NOSSA SENHORA DO CARMO - LADO ÍMPAR;Parque Rui Barbosa;28025486;610;9a6bf604467cfc2c;3e8c98db994da3b6;89;138;10;19;-41.32532518;-21.78585831;-41.31632691;-21.78499486;934.1;3812.6;5579.8;-41.335195,-21.787293,-41.314834,-21.783123;-41.335195,-21.787537,-41.274328,-21.750106;sim;não;revisar visualmente antes de escolher uma base
764;AVENIDA NOSSA SENHORA DO CARMO - LADO PAR;Parque Rui Barbosa;28025487;610;9a6bf604467cfc2c;3e8c98db994da3b6;89;138;10;19;-41.32532518;-21.78585831;-41.31632691;-21.78499486;934.1;3812.6;5579.8;-41.335195,-21.787293,-41.314834,-21.783123;-41.335195,-21.787537,-41.274328,-21.750106;sim;não;revisar visualmente antes de escolher uma base
262;RUA CLÉRIO PINHEIRO;Donana;28023393;605;f26d5888bfb0fe2e;af941b712c4590e7;53;62;5;6;-41.29521346;-21.83166496;-41.29737473;-21.83931801;879.7;2126.1;2408.5;-41.305053,-21.834863,-41.287318,-21.827401;-41.311007,-21.885554,-41.287318,-21.827401;sim;não;revisar visualmente antes de escolher uma base
264;RUA CLÉRIO PINHEIRO;Goytacazes;28023451;605;f26d5888bfb0fe2e;af941b712c4590e7;53;62;5;6;-41.29521346;-21.83166496;-41.29737473;-21.83931801;879.7;2126.1;2408.5;-41.305053,-21.834863,-41.287318,-21.827401;-41.311007,-21.885554,-41.287318,-21.827401;sim;não;revisar visualmente antes de escolher uma base
1829;AVENIDA SANTA ROSA;Custodópolis;28085030;621;b8ebae594ba0d32f;432e6ab36a09a5c2;91;151;13;17;-41.30980554;-21.73498201;-41.30183879;-21.73645449;839.0;1936.7;4854.6;-41.313602,-21.740315,-41.305065,-21.728425;-41.313602,-21.905588,-41.273578,-21.711700;sim;não;revisar visualmente antes de escolher uma base
