nome_base_normalizado;nomes_cadastrados;quantidade_cadastros;quantidade_contextos;status;ids;bairros;ceps;distritos
DOUTOR LACERDA SOBRINHO;RUA DOUTOR LACERDA SOBRINHO - ATÉ 365 - LADO ÍMPAR | RUA DOUTOR LACERDA SOBRINHO - DE 2 A 318 - LADO PAR | RUA DOUTOR LACERDA SOBRINHO - DE 360 AO FIM - LADO PAR | RUA DOUTOR LACERDA SOBRINHO - DE 393 AO FIM - LADO ÍMPAR;4;4;ambiguidade_por_contexto;9,10,458,459;Centro,Parque Salo Brand;28010071,28010072,28010076,28010077;601,607
DOUTOR NEWTON GUARANA;AVENIDA DOUTOR NEWTON GUARANÁ;2;2;ambiguidade_por_contexto;787,808;Parque Novo Jockey,Parque Penha;28020803,28021245;611
DOUTOR PEDRO BARROSO;AVENIDA DOUTOR PEDRO BARROSO | RUA DOUTOR PEDRO BARROSO;2;2;ambiguidade_por_contexto;1454,1480;Parque Jardim Carioca,Parque Vicente Gonçalves Dias;28080600,28083300;617
DOUTOR RAUL ABBOTT ESCOBAR;RUA DOUTOR RAUL ABBOTT ESCOBAR - ATÉ 141 - LADO ÍMPAR | RUA DOUTOR RAUL ABBOTT ESCOBAR - ATÉ 152 - LADO PAR | RUA DOUTOR RAUL ABBOTT ESCOBAR - DE 143 AO FIM - LADO ÍMPAR | RUA DOUTOR RAUL ABBOTT ESCOBAR - DE 154 AO FIM - LADO PAR;4;4;ambiguidade_por_contexto;239,240,252,253;Parque Califórnia;28013314,28013315,28015311,28015312;605
F;RUA F;2;2;ambiguidade_por_contexto;1750,1752;Codim,Parque Eldorado;28090570,28090740;620
FORTALEZA;RUA FORTALEZA;2;2;ambiguidade_por_contexto;1644,2006;Parque Boa Vista,Parque Cidade Luz;28060810,28073565;619,622
FRANCISCO LAMEGO;AVENIDA FRANCISCO LAMEGO | TRAVESSA FRANCISCO LAMEGO;2;2;ambiguidade_por_contexto;1456,1510;Parque Jardim Carioca,Parque Vicente Gonçalves Dias;28080000,28080810;617
G;RUA G;2;2;ambiguidade_por_contexto;827,1754;Codim,Vivendas do Coqueiro II;28021375,28090580;611,620
GIL DE GOIS;RUA GIL DE GOIS - ATÉ 30 - LADO PAR | RUA GIL DE GOIS - ATÉ 33 - LADO ÍMPAR;2;2;ambiguidade_por_contexto;28,29;Centro;28010541,28010542;601
GILBERTO SIQUEIRA;RUA GILBERTO SIQUEIRA | TRAVESSA GILBERTO SIQUEIRA;2;2;ambiguidade_por_contexto;116,1707;Centro,Parque Fundão;28010400,28060377;603,619
H;RUA H;3;3;ambiguidade_por_contexto;1001,1756,2013;Codim,Parque Céu Azul,Vivendas do Coqueiro I;28021308,28083830,28090590;613,620,622
