rua_id;nome_rua;nome_normalizado;nome_base_normalizado;bairro;cep;distrito;estado_geometria;hash_geometria;extensao_geometria_m;distancia_minima_outra_geometria_m;status_grupo;ids_do_grupo;quantidade_cadastros_base;quantidade_contextos_base;risco_casamento_osm;ids_chave_base
264;RUA CLÉRIO PINHEIRO;CLERIO PINHEIRO;CLERIO PINHEIRO;Goytacazes;28023451;605;valida;f26d5888bfb0fe2e;2009.9;0.0;geometria_compartilhada_contextos_distintos;262,264;2;2;ambiguidade_por_contexto;262,264
554;AVENIDA DAS ACÁCIAS;DAS ACACIAS;DAS ACACIAS;Parque Tarcisio Miranda;28020197;608;valida;7f1a86034cef088a;2414.1;0.0;geometria_compartilhada_contextos_distintos;554,568,1017;3;3;ambiguidade_por_contexto;554,568,1017
568;AVENIDA DAS ACÁCIAS;DAS ACACIAS;DAS ACACIAS;Fazenda Santo Antônio;28023009;608;valida;7f1a86034cef088a;2414.1;0.0;geometria_compartilhada_contextos_distintos;554,568,1017;3;3;ambiguidade_por_contexto;554,568,1017
1017;RUA DAS ACÁCIAS;DAS ACACIAS;DAS ACACIAS;Parque Penha;28022140;613;valida;7c45c4d2e0d6fdab;128.1;1572.5;geometria_compartilhada_contextos_distintos;554,568,1017;3;3;ambiguidade_por_contexto;554,568,1017
1453;AVENIDA DEPUTADO BARTOLOMEU LIZANDRO - LADO PAR;DEPUTADO BARTOLOMEU LIZANDRO LADO PAR;DEPUTADO BARTOLOMEU LIZANDRO;Parque Jardim Carioca;28080390;617;valida;41c24846cc3af34c;2151.3;0.0;geometria_compartilhada_contextos_distintos;1453,1455,1457,1520,1522;5;5;ambiguidade_por_contexto;1453,1455,1457,1520,1522
1455;AVENIDA DEPUTADO BARTOLOMEU LIZANDRO - LADO PAR;DEPUTADO BARTOLOMEU LIZANDRO LADO PAR;DEPUTADO BARTOLOMEU LIZANDRO;Parque Vicente Gonçalves Dias;28080267;617;valida;41c24846cc3af34c;2151.3;0.0;geometria_compartilhada_contextos_distintos;1453,1455,1457,1520,1522;5;5;ambiguidade_por_contexto;1453,1455,1457,1520,1522
1457;AVENIDA DEPUTADO BARTOLOMEU LIZANDRO - LADO PAR;DEPUTADO BARTOLOMEU LIZANDRO LADO PAR;DEPUTADO BARTOLOMEU LIZANDRO;Parque Santo Antônio;28080547;617;valida;41c24846cc3af34c;2151.3;0.0;geometria_compartilhada_contextos_distintos;1453,1455,1457,1520,1522;5;5;ambiguidade_por_contexto;1453,1455,1457,1520,1522
1520;AVENIDA DEPUTADO BARTOLOMEU LIZANDRO - LADO PAR;DEPUTADO BARTOLOMEU LIZANDRO LADO PAR;DEPUTADO BARTOLOMEU LIZANDRO;Parque Fundão;28060223;618;valida;41c24846cc3af34c;2151.3;0.0;geometria_compartilhada_contextos_distintos;1453,1455,1457,1520,1522;5;5;ambiguidade_por_contexto;1453,1455,1457,1520,1522
1522;AVENIDA DEPUTADO BARTOLOMEU LIZANDRO - LADO PAR;DEPUTADO BARTOLOMEU LIZANDRO LADO PAR;DEPUTADO BARTOLOMEU LIZANDRO;Parque Vera Cruz;28060210;618;valida;41c24846cc3af34c;2151.3;0.0;geometria_compartilhada_contextos_distintos;1453,1455,1457,1520,1522;5;5;ambiguidade_por_contexto;1453,1455,1457,1520,1522
782;ESTRADA DO CAPÃO;DO CAPAO;DO CAPAO;Parque São Benedito;28026495;610;valida;82b8c695edd40f79;99.3;0.0;geometria_compartilhada_contextos_distintos;782,893;2;2;ambiguidade_por_contexto;782,893
893;ESTRADA DO CAPÃO;DO CAPAO;DO CAPAO;Parque Aurora;28025490;611;valida;82b8c695edd40f79;99.3;0.0;geometria_compartilhada_contextos_distintos;782,893;2;2;ambiguidade_por_contexto;782,893
1854;PRAÇA DOIS;DOIS;DOIS;Parque Guarus;28070040;621;valida;ebe0abffad9fe1fc;0.0;2011.7;geometria_compartilhada_contextos_distintos;1854,1895,1949,1996,1998,2065;6;6;ambiguidade_por_contexto;1854,1895,1949,1996,1998,2065
1895;RUA DOIS;DOIS;DOIS;Parque Barão do Rio Branco;28085510;621;valida;502c4fe7303ff5d1;34430.6;0.0;geometria_compartilhada_contextos_distintos;1854,1895,1949,1996,1998,2065;6;6;ambiguidade_por_contexto;1854,1895,1949,1996,1998,2065
1949;AVENIDA DOIS;DOIS;DOIS;Parque Presidente Vargas;28083331;622;valida;502c4fe7303ff5d1;34430.6;0.0;geometria_compartilhada_contextos_distintos;1854,1895,1949,1996,1998,2065;6;6;ambiguidade_por_contexto;1854,1895,1949,1996,1998,2065
1996;RUA DOIS;DOIS;DOIS;Jardim Lagoa das Pedras;28073580;622;valida;502c4fe7303ff5d1;34430.6;0.0;geometria_compartilhada_contextos_distintos;1854,1895,1949,1996,1998,2065;6;6;ambiguidade_por_contexto;1854,1895,1949,1996,1998,2065
1998;RUA DOIS;DOIS;DOIS;Parque Boa Vista;28073700;622;valida;502c4fe7303ff5d1;34430.6;0.0;geometria_compartilhada_contextos_distintos;1854,1895,1949,1996,1998,2065;6;6;ambiguidade_por_contexto;1854,1895,1949,1996,1998,2065
2065;RUA DOIS;DOIS;DOIS;Parque Aeroporto;28093130;623;valida;9e8cbc1a8f371f45;310.3;303.9;geometria_compartilhada_contextos_distintos;1854,1895,1949,1996,1998,2065;6;6;ambiguidade_por_contexto;1854,1895,1949,1996,1998,2065
169;RUA DOMINGOS VIANA – DE 312 AO 522;DOMINGOS VIANA DE 312 AO 522;DOMINGOS VIANA DE 312 AO 522;Parque Turf Club;28024140;604;valida;7465c1050c22e5ac;2217.3;0.0;geometria_compartilhada_contextos_distintos;169,172;2;2;ambiguidade_por_contexto;169,172
172;RUA DOMINGOS VIANA – DE 312 AO 522;DOMINGOS VIANA DE 312 AO 522;DOMINGOS VIANA DE 312 AO 522;Parque Turf Club;28013085;604;valida;7465c1050c22e5ac;2217.3;0.0;geometria_compartilhada_contextos_distintos;169,172;2;2;ambiguidade_por_contexto;169,172
170;RUA DOMINGOS VIANA – DE 387 AO 569;DOMINGOS VIANA DE 387 AO 569;DOMINGOS VIANA DE 387 AO 569;Parque Turf Club;28024140;604;valida;7465c1050c22e5ac;2217.3;0.0;geometria_compartilhada_contextos_distintos;170,173;2;2;ambiguidade_por_contexto;170,173
173;RUA DOMINGOS VIANA – DE 387 AO 569;DOMINGOS VIANA DE 387 AO 569;DOMINGOS VIANA DE 387 AO 569;Parque Turf Club;28013085;604;valida;7465c1050c22e5ac;2217.3;0.0;geometria_compartilhada_contextos_distintos;170,173;2;2;ambiguidade_por_contexto;170,173
