1095	{"type": "MultiLineString", "coordinates": [[[-41.2758628, -21.9079979], [-41.2748589, -21.9074231], [-41.273198, -21.9065135]]]}
1112	{"type": "MultiLineString", "coordinates": [[[-41.2758628, -21.9079979], [-41.2748589, -21.9074231], [-41.273198, -21.9065135]]]}
1117	{"type": "MultiLineString", "coordinates": [[[-41.3266623, -21.7440573], [-41.325739, -21.7430046], [-41.3239701, -21.7409445], [-41.3226405, -21.7393977]], [[-41.3276957, -21.7438769], [-41.3269903, -21.7444413]], [[-41.3282892, -21.7445088], [-41.3276957, -21.7438769], [-41.3274792, -21.7435845], [-41.3274336, -21.7435533], [-41.3273853, -21.7435434], [-41.3273414, -21.7435557]], [[-41.385332, -21.7842322], [-41.3848132, -21.7831714], [-41.3836433, -21.7804838], [-41.3833513, -21.7798285], [-41.3830756, -21.7792094], [-41.3829199, -21.7788598], [-41.3827721, -21.7785338], [-41.38248, -21.7778893], [-41.3821765, -21.7772275]], [[-41.2852786, -21.8961285], [-41.287118, -21.8969332], [-41.2881888, -21.8973977], [-41.2892121, -21.8978432]], [[-41.2809769, -21.712814], [-41.280533, -21.7127868], [-41.2800845, -21.7127556], [-41.2796519, -21.7127363], [-41.2791942, -21.71272], [-41.2787576, -21.7126976], [-41.2783599, -21.7126907]], [[-41.2981432, -21.786939], [-41.2974646, -21.7865007], [-41.2973211, -21.7864035]], [[-41.1867886, -21.770817], [-41.1868429, -21.7705803], [-41.1868422, -21.7705598], [-41.1868342, -21.7705361], [-41.1868188, -21.7705218], [-41.1867933, -21.7705081], [-41.1864962, -21.7704514], [-41.1862481, -21.770406]], [[-41.3275376, -21.7450758], [-41.3269903, -21.7444413], [-41.3266623, -21.7440573]]]}
1134	{"type": "MultiLineString", "coordinates": [[[-41.3234317, -21.7740439], [-41.3227515, -21.7743149], [-41.3223803, -21.7743957], [-41.3217138, -21.7746012]], [[-41.1371268, -21.9432844], [-41.1366259, -21.9431618], [-41.1364764, -21.9431339], [-41.1345901, -21.9430258]]]}
1157	{"type": "MultiLineString", "coordinates": [[[-41.2757521, -21.7834322], [-41.2737304, -21.7809041]]]}
1167	{"type": "MultiLineString", "coordinates": [[[-41.3176641, -21.7672378], [-41.3169926, -21.7677031]]]}
1184	{"type": "MultiLineString", "coordinates": [[[-41.2919304, -21.4411258], [-41.291865, -21.4408264], [-41.2918777, -21.4403212], [-41.2918974, -21.440243], [-41.2920289, -21.4397412], [-41.2920413, -21.4393613], [-41.2920776, -21.4390358], [-41.2920737, -21.4384608], [-41.2921913, -21.4378894], [-41.2923119, -21.437363], [-41.2924064, -21.4371507], [-41.2926, -21.4368856], [-41.2927787, -21.4367089], [-41.2929215, -21.4365677], [-41.2930685, -21.4363942], [-41.2931734, -21.436142], [-41.2933196, -21.4357269], [-41.2935094, -21.4352076], [-41.2937883, -21.4345508], [-41.2940443, -21.4338586], [-41.2943004, -21.4331873], [-41.2944571, -21.4328645], [-41.2946489, -21.4326144], [-41.294859, -21.4323695], [-41.2950169, -21.4320912], [-41.2951434, -21.431713], [-41.295316, -21.4313319], [-41.2954788, -21.4309097], [-41.2955584, -21.4304673], [-41.2956544, -21.4296621], [-41.2957564, -21.4293922]], [[-41.1347517, -21.9502677], [-41.1342522, -21.9499499], [-41.1340745, -21.9497907], [-41.1339258, -21.949671], [-41.1336232, -21.9494673], [-41.1326948, -21.9488764]], [[-41.2752445, -21.7859091], [-41.2742454, -21.7865766]], [[-41.3137423, -21.6992337], [-41.3141419, -21.6990144], [-41.3144584, -21.698805], [-41.3145295, -21.698739], [-41.3145885, -21.698668], [-41.3147682, -21.6984524], [-41.3148406, -21.6983627], [-41.3149828, -21.6982256], [-41.3156031, -21.6976969], [-41.3156882, -21.6975801], [-41.3157526, -21.6974456], [-41.3157978, -21.6972585], [-41.3157713, -21.697154], [-41.3155943, -21.6967129], [-41.3155165, -21.6965359], [-41.3154414, -21.6964163], [-41.3153341, -21.6962967], [-41.3147387, -21.6957235], [-41.314382, -21.6953422], [-41.3142693, -21.6952001], [-41.3141674, -21.6950431], [-41.3140818, -21.6948691], [-41.3140065, -21.6946394], [-41.3138428, -21.6940911], [-41.3137892, -21.6939714], [-41.313706, -21.6938319], [-41.3136095, -21.6937297], [-41.3134888, -21.69364], [-41.3131892, -21.6934623], [-41.3128128, -21.6932462], [-41.3125094, -21.6930703], [-41.3122992, -21.6929048], [-41.3122281, -21.6928437], [-41.3121584, -21.6927502], [-41.3118339, -21.6922244], [-41.311748, -21.6920773], [-41.3116917, -21.6919378], [-41.3116434, -21.6917683], [-41.3113913, -21.6907166], [-41.3113645, -21.690567], [-41.3113511, -21.6903901], [-41.3113618, -21.6902106], [-41.3114181, -21.6896997], [-41.3114369, -21.6895601], [-41.3114798, -21.6894106], [-41.3115528, -21.689205], [-41.3116837, -21.6888997], [-41.3117105, -21.6887676], [-41.3117496, -21.68828]], [[-41.312618, -21.700593], [-41.3126615, -21.700492], [-41.3129384, -21.6999215], [-41.3130216, -21.6997939], [-41.3131235, -21.6996774], [-41.3132301, -21.6995745], [-41.3133335, -21.6994927], [-41.3133486, -21.6994808], [-41.3137423, -21.6992337]], [[-41.309707, -21.7066816], [-41.3097724, -21.7065577], [-41.3098744, -21.7063863], [-41.3100942, -21.7060183], [-41.3103256, -21.7056682], [-41.3104209, -21.7055036], [-41.3105587, -21.7051852], [-41.3106537, -21.7049892], [-41.3109991, -21.7045651], [-41.311217, -21.7043687], [-41.3113067, -21.7042956], [-41.3115013, -21.7041369], [-41.3118312, -21.7038628], [-41.3119707, -21.7037108], [-41.3121074, -21.7035338], [-41.3122255, -21.7033295], [-41.3123006, -21.7031475], [-41.3123301, -21.7029955], [-41.3123274, -21.7028435], [-41.3122952, -21.702547], [-41.3122496, -21.702233], [-41.3122228, -21.7019239], [-41.3122523, -21.7016398], [-41.3122724, -21.7015501], [-41.3123274, -21.7013694], [-41.3124387, -21.701048], [-41.3125162, -21.700843], [-41.312618, -21.700593]], [[-41.3117594, -21.6874304], [-41.3117346, -21.6871475], [-41.3117252, -21.6871251], [-41.3116984, -21.6871089], [-41.3108441, -21.6871351]], [[-41.3117496, -21.68828], [-41.3117552, -21.6880817], [-41.3117528, -21.6878996], [-41.3117547, -21.6876473], [-41.3117641, -21.6876295], [-41.3117809, -21.687618], [-41.3118104, -21.6876123]], [[-41.3095931, -21.7066655], [-41.309707, -21.7066816]], [[-41.309707, -21.7066816], [-41.3095516, -21.7069761]]]}
1226	{"type": "MultiLineString", "coordinates": [[[-41.281545, -21.8306241], [-41.2825495, -21.830334]], [[-41.0511594, -22.0357131], [-41.0522074, -22.0368842]]]}
1348	{"type": "MultiLineString", "coordinates": [[[-41.0521763, -22.0377077], [-41.0525361, -22.0371435], [-41.0526627, -22.036901], [-41.0532112, -22.0359761]]]}
1396	{"type": "MultiLineString", "coordinates": [[[-41.3145446, -21.7209646], [-41.3141204, -21.7215653], [-41.3137423, -21.7220948]]]}
