1047	RUA NOSSA SENHORA DA CONCEIÇÃO	{"type":"MultiLineString","coordinates":[[[-41.32256269454957,-21.768486700441446],[-41.31870031356812,-21.76949271800613]]]}
1087	PARAÍSO, RUA	{"type":"MultiLineString","coordinates":[[[-41.28554821014405,-21.90608849630042],[-41.28453969955445,-21.902585692967975]]]}
1090	SANTO AMARO, RUA	{"type":"MultiLineString","coordinates":[[[-41.28865957260132,-21.89816653275539],[-41.28574132919312,-21.897042000153476]]]}
1095	MIGUEL RINALDI, TV.	{"type":"MultiLineString","coordinates":[[[-41.27578496932984,-21.90796051919503],[-41.2732744216919,-21.906577338385333]]]}
1112	MIGUEL RINALDI, AV.	{"type":"MultiLineString","coordinates":[[[-41.28562331199647,-21.901988476838397],[-41.28512978553773,-21.902336772257147],[-41.280924081802375,-21.90330204368328],[-41.27837061882019,-21.903909066695313],[-41.27632141113282,-21.905421637377444],[-41.275677680969245,-21.909571173180268],[-41.275194883346565,-21.913544806729494]]]}
1117	SANTO ANTÔNIO, RUA	{"type":"MultiLineString","coordinates":[[[-41.28900289535523,-21.897797368151522],[-41.28556966781617,-21.896304619965782]]]}
1134	BARROS BARRETO, TV.	{"type":"MultiLineString","coordinates":[[[-41.1370074748993,-21.943204039870473],[-41.134647130966194,-21.94302496803036]]]}
1157	BARCELOS MARTINS, RUA	{"type":"MultiLineString","coordinates":[[[-41.05688989162446,-22.04364599639674],[-41.05583846569062,-22.045564671251086]]]}
1167	HORÁCIO DE SOUZA, RUA	{"type":"MultiLineString","coordinates":[[[-41.06709837913514,-22.049158714734293],[-41.066020131111145,-22.050928201763355]]]}
1184	NOGUEIRA, TV.	{"type":"MultiLineString","coordinates":[[[-41.134647130966194,-21.9501404108094],[-41.13270521163941,-21.94888696433845]]]}
1226	CAMPO ALEGRE, RUA	{"type":"MultiLineString","coordinates":[[[-41.05215311050416,-22.036832605181896],[-41.05116605758668,-22.03574396661351]]]}
1348	SAO DOMINGOS, RUA	{"type":"MultiLineString","coordinates":[[[-41.25692367553712,-21.83654314790603],[-41.25457406044007,-21.834054157941754]]]}
1396	SARDINHA, RUA	{"type":"MultiLineString","coordinates":[[[-41.02850675582886,-22.02708127390675],[-41.02571725845337,-22.030809681543886]]]}
1424	I, RUA	{"type":"MultiLineString","coordinates":[[[-41.03602230548859,-22.031890175926563],[-41.03568971157075,-22.032317690466048]]]}
1459	PRAÇA SANTO ANTÔNIO	{"type":"MultiLineString","coordinates":[[[-41.32749259471894,-21.745029836764076],[-41.32668256759644,-21.744078440413418]],[[-41.32822751998902,-21.744457007255377],[-41.3274496793747,-21.743585305794188]]]}
1474	RUA CASIMIRO DE ABREU	{"type":"MultiLineString","coordinates":[[[-41.31758451461793,-21.751914469629465],[-41.31701588630677,-21.74772050956294]]]}
1501	RUA SANTO ANTÔNIO	{"type":"MultiLineString","coordinates":[[[-41.32656455039979,-21.744062330152214],[-41.32272362709046,-21.73949952449891]]]}
1714	TRAVESSA WILSON BATISTA	{"type":"MultiLineString","coordinates":[[[-41.335426568984985,-21.726697343056692],[-41.335088610649116,-21.726258948241817]]]}
1791	RUA PARAÍSO	{"type":"MultiLineString","coordinates":[[[-41.325121521949775,-21.72281846570143],[-41.324990093708045,-21.72323694352066]]]}
1803	RUA SANTO AMARO	{"type":"MultiLineString","coordinates":[[[-41.32716536521912,-21.72361418525052],[-41.325384378433235,-21.72312098041497]]]}
2061	TRAVESSA NOSSA SENHORA DA PENHA	{"type":"MultiLineString","coordinates":[[[-41.31469309329987,-21.744546997667687],[-41.31348609924317,-21.744322846509004]]]}
2072	RUA UM	{"type":"MultiLineString","coordinates":[[[-41.30951642990113,-21.700528105634287],[-41.30895853042603,-21.70058789751611]]]}
